corps,activite,produit,variete,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Revêtement ,Produits en marbre et granit,Marbre local,Qualité moyenne (m²),465.7855872015118,465.7855872015118,482.3468525242322,517.5395413350132,465.7855872015118,419.2070284813606,465.7855872015118,455.4347963748115,496.8379596816126,476.136378028212,433.33418969228865,426.78936531364275,429.41099999999994,408.985,415.396
Revêtement ,Produits en marbre et granit,Marbre importé,Qualité économique  (m²),298.4286717516283,298.4286717516283,300.0303400508556,308.6201799619774,303.8803334667118,295.4164245536574,315.20669282419254,307.58590306294667,306.52412246140665,299.2399831438222,304.7739243038974,305.7216985485593,307.1089466666667,307.61452,310.5564933333334
Revêtement ,Produits en marbre et granit,Granit,Local (ml),520.4725029223923,520.4725029223923,520.4725029223923,540.1129747307846,554.8433285870788,574.4838003954709,589.214154251765,571.5377296242121,618.6748619643533,599.0343901559611,588.7419108851076,591.7603024920186,595.4135000000001,585.8940000000001,585.8940000000001
Revêtement ,Produits en marbre et granit,Granit,Importé (ml),460.233359039241,460.233359039241,460.233359039241,470.42592065339795,470.42592065339795,521.3887287241828,548.8302407622976,588.0324008167474,572.3515367949674,611.5536968494174,626.9888402225406,637.4067368711378,637.22775,628.0323000000001,600.0
Menuiserie Quincaillerie ,Bois,Sapin rouge ,2ème Choix (m3),4790.61062062653,4790.61062062653,4792.739780902365,5429.358703376734,5173.859470276653,5109.984662001632,5056.755655105781,5122.759623656637,4790.61062062653,4737.381613730681,5262.224154597047,5377.045070089325,5464.367400000001,5521.39,5658.195
Menuiserie Quincaillerie ,Bois,Contre-plaqué,4 mm (m²),57.30461708301766,57.30461708301766,62.08000183993579,67.23741737740738,67.81046354823755,62.08000183993579,64.46769421839487,68.04923278608346,66.85538659685395,63.03507879131942,62.92786034802141,64.02160223850623,62.721608,58.89800000000001,58.89800000000001
Menuiserie Quincaillerie ,Bois,Hêtre,Français ou Roumain (m3),9118.657267657758,9118.657267657758,9123.723188362013,8713.383611317415,8206.791540891985,8333.439558498343,8612.06519723233,8612.06519723233,8612.06519723233,8105.473126806899,8303.885523123952,8392.504064729455,8382.557999999999,8740.12,8840.119999999999
Menuiserie Quincaillerie ,Bois,Cèdre,2ème Choix (m3),10788.050777174927,10996.921026547536,10996.921026547536,12180.844449393206,11712.350432108851,12493.173794249442,13176.394236122458,13420.401536791393,13664.408837460327,15226.055561741508,14523.917790955558,14784.507473021094,14551.273600000002,14386.88,14386.88
Menuiserie Quincaillerie ,Quincaillerie,Serrure,Standard (u),22.719261654109992,22.719261654109992,22.719261654109992,24.536802586438792,27.263113984931994,27.263113984931994,29.535040150342994,31.12538846613069,32.71573678191839,31.80696631575399,29.056085774705547,28.728066759247255,28.05645,26.557199999999998,29.3534
Menuiserie Quincaillerie ,Quincaillerie,Poignet,Standard (u),31.72878036222328,31.72878036222328,36.26146327111232,40.79414618000136,40.79414618000136,37.16799985289013,38.52780472555684,35.12829254389006,31.72878036222328,36.26146327111232,38.77153706601071,39.258619565851305,37.734500000000004,33.272400000000005,36.38635
Menuiserie Quincaillerie ,Quincaillerie,Paumelle,Standard (u),4.2040245798216915,4.2040245798216915,4.671138422024102,4.437581500922897,4.671138422024102,4.857983958905066,5.138252264226512,5.371809185327717,5.605366106428922,5.138252264226511,5.360935397739149,5.449137865267495,5.253019,5.296679,5.3898
Menuiserie Quincaillerie ,Aluminium châssis ,Qualité Economique ,Nafida & similaires (m²),504.14046737104155,504.14046737104155,507.1059995320476,526.8762139387552,506.1174888117123,514.0255745743954,568.393664192841,590.1409000402192,612.8766466079328,622.7617538112866,572.9681937185621,577.2953655130378,577.0338,544.012,554.012
Menuiserie Quincaillerie ,Aluminium châssis ,Qualité Moyenne ,Aluma & similaires (m²),735.019449707175,735.019449707175,744.819709036604,714.0174939642087,694.4169753053507,754.6199683660329,857.5226913250375,839.8822245320654,882.0233396486101,931.0246362957549,876.527262910969,878.5673545594142,870.7882,863.5340000000001,863.5340000000001
Menuiserie Quincaillerie ,Volet roulant,VR Aluminium ,Aluminium  (m²),465.0220732898247,470.1889852152671,475.35589714070954,475.35589714070954,475.35589714070954,475.35589714070954,490.8566329170371,472.2557499854441,516.6911925442495,532.191928320577,536.8438241524192,541.907605676729,552.2679,546.211,541.211
Menuiserie Quincaillerie ,Volet roulant,VR PVC,PVC  (m²),312.8804774448033,316.0092822192514,318.0951520688834,302.45112819664325,302.45112819664325,286.8071043244031,297.23645357256316,314.9663472944353,317.05221714406736,323.3098266929634,331.6688451826321,329.8066648163069,336.435,334.7144,337.2976
Plomberie Sanitaire,Retube,Canalisation en retube,Diam 16 à 20 (ml),5.489846990092595,5.489846990092595,5.947334239266977,6.066280924052316,6.40482148844136,6.176077863854168,6.404821488441359,6.404821488441359,6.862308737615742,6.679313837945989,7.309710132236194,7.391959301157269,7.123625,6.45765,6.68623
Plomberie Sanitaire,Polypropylène Random,Tube PPR,Diam 16 (ml),14.935765133957537,14.935765133957537,14.935765133957537,16.568742121936893,16.92720048515187,17.92291816074904,19.914353511943382,18.918635836346212,18.918635836346212,19.4164946741448,19.866604002633856,19.625908493435272,19.11829,18.558450000000004,17.65255
Plomberie Sanitaire,Polypropylène Random,Tube PPR,Diam 20 (ml),21.640370710681363,21.640370710681363,21.640370710681363,22.72238924621543,23.8044077817495,25.427435585050603,27.0504633883517,27.0504633883517,24.88642631728357,23.8044077817495,21.57931689771899,21.414741594371097,21.366314000000003,20.213,19.213
Plomberie Sanitaire,Cuivre,Tuyaux,Diam 10/12 (ml),24.89583281285264,24.89583281285264,26.887499437880848,24.89583281285264,26.558874444751197,29.874999375423165,32.36458265670843,35.10312426612222,34.85416593799369,35.8499992505078,37.77990751954552,37.99714690972197,38.20703700000001,39.40120000000001,39.40120000000001
Plomberie Sanitaire,Cuivre,Tuyaux,Diam 12/14 (ml),33.21333777307622,33.21333777307622,34.09774811480394,38.008333601720516,39.777154285175975,41.5566305149173,41.5566305149173,42.888573800651834,40.49107588632968,41.023853200623485,42.33040959473247,43.13717309489883,42.820550000000004,43.478888999999995,44.0058
Plomberie Sanitaire,Plastique,Buse en PVC,Diam 32 à 50 mm (ml),16.013605023469207,16.013605023469207,16.013605023469207,14.09396168835768,13.14905952858776,12.930240081062092,13.924873933451485,12.681581617964744,12.432923154867396,12.432923154867396,12.887389347254238,12.915919698692079,12.711063999999999,14.401200000000001,14.444435
